Wall time,Step,Value
1551627464.9530828,167,-1.5141621828079224
1551627465.578083,229,-1.5364445447921753
1551627468.367083,474,-1.6761270761489868
1551627468.997083,536,-1.676127314567566
1551627469.743083,586,-1.612750768661499
1551627470.378083,647,-1.642735481262207
1551627474.512083,1014,-1.511496901512146
1551627498.884083,1333,-1.5625274181365967
1551627499.424083,1385,-1.537312626838684
1551627499.944083,1436,-1.5197927951812744
1551627533.576083,1737,-1.5260803699493408
1551627535.026083,1877,-1.6761270761489868
1551627581.670083,2307,-1.57148277759552
1551627582.520083,2389,-1.6761270761489868
1551627583.5110831,2486,-1.5160430669784546
1551627648.445083,3246,-1.5414055585861206
1551627649.0650828,3305,-1.6253094673156738
1551627748.2320828,4317,-1.6761270761489868
1551627756.110083,4400,-1.676127314567566
1551627757.060083,4492,-1.5409166812896729
1551627800.024083,4971,-1.6209365129470825
1551627801.764083,5134,-1.5324372053146362
1551627825.208083,5345,-1.5162456035614014
1551627850.8970828,5723,-1.5196889638900757
1551627874.440083,5907,-1.6761274337768555
1551627875.295083,5990,-1.6761271953582764
1551627893.459083,6200,-1.5160489082336426
1551627941.865083,6699,-1.5203694105148315
1551627941.990083,6711,-1.517650842666626
1551627943.495083,6854,-1.5233784914016724
1551627966.5480828,6966,-1.517022967338562
1551627968.4530828,7155,-1.5240914821624756
1551627996.099083,7463,-1.5168548822402954
1551628021.164083,7798,-1.5152450799942017
1551628021.524083,7833,-1.5146113634109497
1551628046.015083,8066,-1.676127552986145
1551628047.200083,8180,-1.676127552986145
1551628068.772083,8221,-1.5596661567687988
1551628092.809083,8498,-1.516215443611145
1551628119.840083,8878,-1.5444501638412476
1551628120.415083,8935,-1.5203394889831543
1551628145.8050828,9260,-1.538335919380188
1551628170.262083,9468,-1.5406250953674316
1551628171.132083,9554,-1.5167467594146729
1551628244.2090828,10399,-1.5313565731048584
1551628245.049083,10479,-1.5359513759613037
1551628272.423083,10905,-1.559525728225708
1551628295.818083,10966,-1.6761274337768555
1551628296.383083,11020,-1.676127314567566
1551628346.2900832,11532,-1.5148061513900757
1551628346.635083,11566,-1.5162537097930908
1551628373.318083,11969,-1.6761271953582764
1551628397.9520829,12164,-1.5149970054626465
1551628399.267083,12290,-1.5225590467453003
1551628450.023083,12877,-1.5155718326568604
1551628473.8610828,13034,-1.5196110010147095
1551628474.161083,13061,-1.676127552986145
1551628574.165083,14294,-1.5184999704360962
1551628599.832083,14668,-1.519499659538269
1551628600.962083,14779,-1.5145361423492432
1551628623.279083,14873,-1.5202075242996216
